customer_id,prob,default
100000,0.008853441379275385,0
100001,0.01719926984269817,0
100002,0.07707241227492416,0
100003,0.06065020003035591,0
100004,0.05828279371774981,0
100005,0.019912657965271766,0
100006,0.010229006624889164,0
100007,0.024997217258260342,0
100008,0.0052572536625715306,0
100009,0.02782830317700352,0
100010,0.01240214914777707,0
100011,0.020909176496404374,0
100012,0.022272914113185972,0
100013,0.011287653631884026,0
100014,0.013940437623104492,0
100015,0.015099984003853156,0
100016,0.023469170570352506,0
100017,0.009013510917532148,0
100018,0.18715123978298462,0
100019,0.03925000290394692,0
100020,0.06969996875934026,0
100021,0.4056586372759722,0
100022,0.02347401399244217,0
100023,0.015275786636546803,0
100024,0.04395724009014782,0
100025,0.016582693155191633,0
100026,0.008422188110385066,0
100027,0.12456234107391176,0
100028,0.00602093693939395,0
100029,0.04031411618299345,0
100030,0.08990718276387702,0
100031,0.03341944775458802,0
100032,0.036891807988301176,0
100033,0.044163550876405236,0
100034,0.008053405024999596,0
100035,0.017208821926388815,0
100036,0.017434872964825453,0
100037,0.014305276780894353,0
100038,0.012671685790290564,0
100039,0.016442365943257646,0
100040,0.03685109547304694,0
100041,0.010388251742077815,0
100042,0.3007704583350755,0
100043,0.06490806510799155,0
100044,0.020450382312064728,0
100045,0.03381994731256696,0
100046,0.0314479615070479,0
100047,0.07452426139166513,0
100048,0.013719021856871936,0
100049,0.008690357430803201,0
100050,0.0678790977241317,0
100051,0.009026360176272933,0
100052,0.631135163965526,1
100053,0.04677102910534181,0
100054,0.019605241840539314,0
100055,0.05197702461800797,0
100056,0.011969736429947676,0
100057,0.02814082255186576,0
100058,0.006919693017924646,0
100059,0.012538414607390752,0
100060,0.12868449305779922,0
100061,0.014944809304670143,0
100062,0.0048738339352301895,0
100063,0.06311388000942662,0
100064,0.024257677036897338,0
100065,0.023594833452512124,0
100066,0.008251069674508322,0
100067,0.005936512518534796,0
100068,0.02517338157433476,0
100069,0.023420739733009135,0
100070,0.010848088280418638,0
100071,0.2826246340079186,0
100072,0.02368234060631514,0
100073,0.011215216771967507,0
